title,photo,summary,published,link,category,source
"V Ralsku dokončili opravu rybníka, práce zkomplikovala rašelina",https://1gr.cz/fotky/idnes/21/121/cl6/JAP8fe9f3_01.jpeg,Monumentální molo s bezpečnostním přelivem a požerákem. Chodníček podél silnice na hrázi. Menší mola kolem vodní plochy. Taková jsou nová poznávací znamení rybníka v Ralsku-Hradčanech. Rekonstrukce vyšla na bezmála 30 milionů korun a táhla se dlouhé tři roky.,"Mon, 06 Dec 2021 16:31:00 GMT",https://www.idnes.cz/liberec/zpravy/ralsko-rybnik-oprava-rekonstrukce-molo.A211206_161532_liberec-zpravy_jape#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Liberec - Liberec - zprávy,idnes.cz
"Hokejové Dynamo reaguje na kritiku fanoušků, o vstupenky se bude losovat",https://1gr.cz/fotky/idnes/17/034/cl6/MSV6a4a22_notext.jpg,"Ještě větší problémy, než se čekalo, vyvolalo výrazné omezení vstupu na hokejové zápasy pardubického Dynama. Klub totiž pro mnohé dost nepochopitelně pustil na atraktivní zápas s Třincem jen držitele permanentních vstupenek na stání.","Mon, 06 Dec 2021 16:30:00 GMT",https://www.idnes.cz/pardubice/zpravy/dynamo-hokej-dedek-fanousci-permanentky-klub.A211204_639993_pardubice-zpravy_skn#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Pardubice - Pardubice - zprávy,idnes.cz
"Philadelphia hoří, není nač čekat. Kouč Vigneault po osmi prohrách končí",https://1gr.cz/fotky/idnes/21/101/cl6/IVT8e9cfe_P2021100600434.jpg,"U hokejistů Philadelphie končí trenér Alain Vigneault. Klub NHL se rozhodl kouče propustit po osmi porážkách za sebou, po nichž mužstvo dělí jen dvě prohry od vyrovnání nejhorší série v historii klubu.","Mon, 06 Dec 2021 16:27:00 GMT",https://www.idnes.cz/hokej/nhl/konec-trener-alain-vigneault-philadelphia.A211206_172345_nhl_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Hokej - NHL,idnes.cz
Opava koupila za necelých 40 milionů zchátralý obchodní dům Breda,https://1gr.cz/fotky/idnes/21/113/cl6/JOG8fc17c_P2021112706707.jpg,"Přes dvě hodiny diskutovali zastupitelé Opavy o tom, jestli za necelých čtyřicet milionů korun mají koupit zchátralý obchodní dům Breda v centru města. Nakonec bylo v 39členném zastupitelstvu pro koupi 21 zastupitelů, nákup architektonicky cenného objektu tedy prošel o dva hlasy.","Mon, 06 Dec 2021 16:25:00 GMT",https://www.idnes.cz/ostrava/zpravy/breda-zastupitelstvo-obchodni-dum-kurt-gebauer.A211206_165146_ostrava-zpravy_jog#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Ostrava - Ostrava - zprávy,idnes.cz
Do USA jen s negativním testem ne starším než den. Platí to i pro očkované,https://1gr.cz/fotky/idnes/20/041/cl6/WOJ826c37_131925_19193108.jpg,"Do Spojených států je očkovaným vstup nově povolen jen s negativním testem na covid, který není starší než jeden den. V ČR však vyhodnocení PCR testů často trvá i déle než 48 hodin. Pokud budou cestující chtít mít jistotu, že do zámoří odletí, budou si muset připlatit za přednostní vyhodnocení testu.","Mon, 06 Dec 2021 16:19:00 GMT",https://www.idnes.cz/zpravy/domaci/covid-testovani-ockovani-usa-cestovani-letiste-opatreni-pandemie.A211206_163514_domaci_hend#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Bílý dům oznámil politický bojkot zimní olympiády, Peking slibuje odvetu",https://1gr.cz/fotky/idnes/21/103/cl6/TEN8f03b0_ppptsw08_olympics_2022_0204_11.jpg,"Administrativa amerického prezidenta Joea Bidena v pondělí oznámila, že nadcházející zimní olympiády v Pekingu se nezúčastní žádní představitelé vlády Spojených států. Bílý dům to odůvodnil porušováním lidských práv v Číně. Čínské ministerstvo zahraničí v reakci pohrozilo „tvrdými protiopatřeními“.","Mon, 06 Dec 2021 19:46:00 GMT",https://www.idnes.cz/zpravy/zahranicni/cina-olympiada-zimni-2022-usa-biden-bojkot.A211206_134538_zahranicni_aha#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Zahraničí,idnes.cz
Vítěz Kentucky Derby uhynul při tréninku. Jak to bylo s jeho dopingem?,https://1gr.cz/fotky/idnes/21/051/cl6/PAR8b1e8f_b32532f9cfdc4d3681c3e0c31906d9d4_0.jpg,"Kolem vítězství Medina Spirita v letošním Kentucky Derby budou asi už navždy panovat pochyby. Tříletý hřebec zkolaboval a uhynul po tréninku na dostihovém závodišti v Santa Anitě, příčinu jeho smrti určí pitva. Svěřenec trenéra Boba Bafferta měl po květnovém triumfu v prvním dostihu americké Trojkoruny pozitivní dopingový test a šetření případu stále nebylo uzavřeno.","Mon, 06 Dec 2021 19:22:00 GMT",https://www.idnes.cz/sport/ostatni/kentucky-derby-vitez-dostihy-medina-spirit-uhynuti.A211206_201625_sporty_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Ostatní sporty,idnes.cz
"Každý šestý dům je špatně pojištěný. Ceny rostou, pojistka na opravu už nestačí",https://1gr.cz/fotky/idnes/21/121/cl6/LUH8fd8de_Depositphotos_315210770.jpg,"Vlastníte dům, byt, chatu či chalupu? Pak urychleně najděte smlouvu o pojištění a podívejte se, na jakou částku máte nemovitost pojištěnou. S tím, jak raketově rostou ceny nemovitostí a stavebních materiálů, rostou právě i hodnoty majetku a tisíce nemovitostí jsou v tuto chvíli podpojištěny.","Mon, 06 Dec 2021 19:00:00 GMT",https://www.idnes.cz/zpravy/domaci/pojistka-bydleni-stavba-oprava-pojistovna.A211205_213603_domaci_vapo#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Sháním nakaženého, který za mě půjde na test. Lidé hledají, jak obejít omezení",https://1gr.cz/fotky/idnes/21/111/cl6/LUH8f24f2_04.jpg,"Češi vymysleli novou taktiku, jak získat potvrzení o prodělání nemoci, aniž by se nakazili. Redakce iDNES.cz narazila na několik případů, kdy lidé na internetu shánějí nakaženého člověka, který místo nich půjde na PCR test. Stačí, když například žena, která chce certifikát, sežene nějakou vrstevnici, která je nakažená. Ta s její kartičkou pojištěnce pak vyrazí na testování.","Mon, 06 Dec 2021 19:00:00 GMT",https://www.idnes.cz/zpravy/domaci/lide-shani-nakazeneho-cloveka-zaplati-jim-za-test-ziskaji-certifikat.A211201_093510_domaci_vank#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Nechte dítě, ať si „narazí čumák“, bude samostatnější, radí psycholožka rodičům",https://1gr.cz/fotky/idnes/21/112/cl6/IHA8f88d9_GettyImages_1218940110.jpg,"Co provedly s žáky a studenty dlouhé měsíce online výuky? Psycholožka Zuzana Masopustová tvrdí, že nezvyklá doba nemá na děti a dospívající jen negativní dopady. Mnohé prý naopak posílila. „Největší chudáci jsou nejchytřejší děti ve třídě, protože až jednou přijdou někam, kde z nich nikdo nebude padat na zadek, tak to pro ně může být velmi drsné,“ řekla pro magazín Víkend DNES.","Mon, 06 Dec 2021 19:00:00 GMT",https://www.idnes.cz/onadnes/vztahy/masopustova-zaci-vzdelani-online-vyuka-pandemie-rodice.A211118_162733_ona-vztahy_mkop#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,OnaDnes - Vztahy,idnes.cz
