,title,link,summary,published,tags,category,credit,source
1,Podíl varianty koronaviru delta v Česku podle Státního zdravotního ústavu roste,https://www.lidovky.cz/domov/podil-varianty-koronaviru-delta-v-cesku-podle-statniho-zdravotniho-ustavu-roste.A210712_165358_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Podíl varianty koronaviru delta v ČR podle Státního zdravotního ústavu (SZÚ) roste. Ukazují do data z takzvaných diskriminačních PCR, nově potvrzené sekvenace kvůli svátkům a prodlouženému víkendu nepřibyly, protože vzorků bylo málo. SZÚ o tom  informoval v tiskové zprávě. Nadále tak platí 126 případů varianty delta potvrzených sekvenací.",2021-07-12 14:53:00,['Události - Domov'],Zprávy z domova,Pixabay.com,lidovky.cz
2,"Vláda schválila jmenování Igora Stříže jako nejvyššího státního zástupce, funkce se ujme v úterý",https://www.lidovky.cz/domov/vlada-schvalila-jmenovani-igora-strize-jako-nejvyssiho-statniho-zastupce.A210712_162020_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Jmenování Igora Stříže nejvyšším státním zástupcem vláda na zasedání schválila. Na tiskové konferenci informaci potvrdila ministryně spravedlnosti Marie Benešová (za ANO), která Stříže vládě ke jmenování navrhla. Úřad řídil jakožto první náměstek už od 1. července poté, co ve funkci skončil Pavel Zeman. Oficiálně se Stříž funkce ujme v úterý.",2021-07-12 14:52:00,['Události - Domov'],Zprávy z domova,Tomáš Hájek Lidovky.cz,lidovky.cz
3,"Vláda schválila zákon o odškodnění za výbuchy ve Vrběticích, vyčlení na něj zhruba 660 milionů korun",https://www.lidovky.cz/domov/vlada-schvalila-zakon-o-odskodneni-za-vybuchy-ve-vrbeticich-vycleni-na-nej-zhru.A210712_162739_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Vláda na pondělním zasedání nakonec podpořila poslanecký návrh zákona o odškodnění za výbuchy ve Vrběticích na Zlínsku před sedmi lety. Na Twitteru to uvedl vicepremiér, ministr vnitra a předkladatel zákona Jan Hamáček (ČSSD).",2021-07-12 14:50:00,['Události - Domov'],Zprávy z domova,MAFRA,lidovky.cz
4,Akce s více než tisícovkou účastníků budou organizátoři nově muset nahlašovat hygieně,https://www.lidovky.cz/domov/akce-s-vice-nez-tisicovkou-ucastniku-budou-organizatori-nove-muset-nahlasovat-hy.A210712_164337_ln_domov_lihem#utm_source=rss&utm_medium=feed&utm_campaign=ln_domov&utm_content=main,"Veškeré plánované akce nad tisíc účastníků budou muset organizátoři od 19. července nahlašovat kvůli epidemii koronaviru příslušné krajské hygienické stanici. Rozhodla o tom vláda, řekl novinářům po jednání kabinetu ministr zdravotnictví Adam Vojtěch (za ANO).",2021-07-12 14:43:00,['Události - Domov'],Zprávy z domova,MAFRA,lidovky.cz
120,Dokážete prožít vlastní život? Will Smith zfilmuje Alchymistu spisovatele Paula Coelha,https://www.lidovky.cz/kultura/dokazete-prozit-vlastni-zivot-will-smith-zfilmuje-alchymistu-spisovatele-paula-coelha.A210712_115209_ln_kultura_jto#utm_source=rss&utm_medium=feed&utm_campaign=ln_kultura&utm_content=main,Kultovní román a návod na život Alchymista brazilského spisovatele Paula Coelha se brzy dočká filmového zpracování. Příběh je nejvíce překládanou knihou žijícího autora.,2021-07-12 15:00:00,['Události - Kultura'],Kultura,ARGO,lidovky.cz
121,Filmař Oliver Stone znovu provokuje. Za ódu na kontroverzního prezidenta Kazachstánu sklízí kritiku,https://www.lidovky.cz/kultura/filmar-oliver-stone-znovu-provokuje-za-odu-na-kontroverzniho-prezidenta-kazachstanu-sklizi-kritiku.A210712_150202_ln_kultura_jto#utm_source=rss&utm_medium=feed&utm_campaign=ln_kultura&utm_content=main,Oscarový režisér a scenárista Oliver Stone natočil oslavnou dokumentární sérii o bývalém prezidentovi Kazachstánu Nursultanu Nazarbajevovi. Ten v zemi diktátorsky vládl téměř třicet let. Stone již dříve sklidil kritiku za neskrývaný obdiv k Vladimíru Putinovi nebo Hugo Chávezovi.,2021-07-12 14:00:00,['Události - Kultura'],Kultura,AP,lidovky.cz
300,Vojtěch: Preventivní testy zdarma od září plánujeme ukončit. Jsou využívány pro zábavu a cestování,https://www.irozhlas.cz/zpravy-domov/vojtech-testy-od-zari-nebudou-zdarma_2107121654_btk,"Ministerstvo zdravotnictví od září plánuje změny v úhradě preventivních testů na koronavirus. Šéf resortu Adam Vojtěch (za ANO) Radiožurnálu řekl, že zdarma pro lidi zůstanou jen ty po indikaci lékařem nebo hygienou.",2021-07-12 14:54:00,[],Zprávy z domova,,irozhlas.cz
301,Novým nejvyšším státním zástupcem bude Igor Stříž. Vláda schválila návrh ministryně Benešové,https://www.irozhlas.cz/zpravy-domov/nejvyssi-statni-zastupce-jmenovani-igor-striz_2107121635_zuj,"Pavla Zemana vystřídá v čele Nejvyššího státního zastupitelství jeho dosavadní náměstek Igor Stříž. Na pondělním zasedání to schválila vláda, jak informovala ministryně spravedlnosti za ANO Marie Benešová, která Stříže ke jmenování navrhla. Úřad řídil jakožto první náměstek už od 1. července poté, co ve funkci skončil Pavel Zeman. Oficiálně se funkce ujme v úterý.",2021-07-12 14:35:00,[],Zprávy z domova,,irozhlas.cz
302,"Praha vybrala firmu, která postaví lávku z Holešovic do Karlína. Stavba by mohla začít na podzim",https://www.irozhlas.cz/zpravy-domov/praha-vybrala-firmu-pro-stavbu-lavky-holesovice-a-karlin_2107121620_btk,"Radní Prahy v pondělí vybrali firmu, která postaví novou lávku mezi Holešovicemi a Karlínem. Pokud všechno půjde dobře, mohli by dělníci s pracemi začít letos na podzim. Poprvé by se lidé mohli po lávce projít přesně za 14 měsíců od začátku stavby. Pokud by tedy dělníci začali pracovat letos na podzim, lávka, které se říká HolKa, může být hotová na přelomu roků 2022 a 2023.",2021-07-12 14:20:00,[],Zprávy z domova,,irozhlas.cz
340,"Euro 2028 by mohlo hrát 32 týmů, UEFA přemýšlí nad další změnou formátu",https://www.irozhlas.cz/sport/fotbal/fotbal-euro-2020-mistrovstvi-evropy-rozsireni-uefa-ucastnici_2107121630_bac,"Evropská fotbalová asociace UEFA zkoumá možnost, jak do budoucna rozšířit počet účastníků mistrovství Evropy ze stávajících 24 na 32. Nový formát by se mohl týkat již ME 2028, jehož pořadatel se bude volit za dva roky. Uvedla to agentura AP.",2021-07-12 14:30:00,[],Sport,,irozhlas.cz
